num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
35.0,22.220,4.105,0.117,26.325,35.0,20.820,4.281,0.122,25.101,192,1,192
32.0,62.686,5.846,0.183,68.532,33.6,51.716,6.110,0.182,57.826,192,1,192
37.0,28.348,6.550,0.177,34.898,37.6,21.432,6.829,0.182,28.261,192,1,192
