num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
15.0,0.405,0.173,0.012,0.578,16.8,0.098,0.186,0.011,0.284,24,1,24
17.0,0.716,0.233,0.014,0.949,21.3,0.138,0.281,0.013,0.418,48,1,48
19.0,1.821,1.318,0.069,3.139,24.8,0.471,3.813,0.154,4.284,96,1,96
21.0,5.068,0.560,0.027,5.628,26.9,3.321,0.729,0.027,4.050,192,1,192
25.0,9.379,0.869,0.035,10.248,33.4,1.668,1.200,0.036,2.869,384,1,384
29.0,16.682,23.298,0.803,39.980,40.9,4.645,45.088,1.102,49.733,768,1,768
29.0,32.342,3.233,0.111,35.575,38.1,5.066,22.132,0.581,27.198,1536,1,1536
