num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
20.0,3.592,2.518,0.126,6.110,20.0,1.696,2.408,0.120,4.104,1,24,24
24.0,3.627,3.269,0.136,6.896,24.0,1.365,2.991,0.125,4.356,2,24,48
24.0,5.715,4.246,0.177,9.961,23.3,1.788,3.163,0.136,4.951,4,24,96
25.0,13.751,5.770,0.231,19.521,25.0,3.435,3.771,0.151,7.206,8,24,192
26.0,12.717,6.721,0.259,19.438,26.0,3.178,4.055,0.156,7.233,16,24,384
32.0,13.505,10.401,0.325,23.906,32.0,3.229,5.644,0.176,8.872,32,24,768
30.0,17.887,13.862,0.462,31.749,30.0,4.769,6.785,0.226,11.554,64,24,1536
