num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
20.0,49.560,55.047,2.752,104.607,38.1,50.388,83.595,2.195,133.983,16,24,384
19.0,25.694,38.610,2.032,64.304,38.3,23.996,58.002,1.515,81.998,32,24,768
19.0,18.203,22.788,1.199,40.991,39.5,14.538,35.088,0.889,49.626,64,24,1536
