num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
27.0,60.005,197.507,7.315,257.512,27.5,52.618,165.026,6.001,217.645,1,1,1
27.0,39.910,115.280,4.270,155.190,27.9,39.703,119.779,4.293,159.481,1,2,2
27.0,26.406,67.250,2.491,93.656,28.1,26.582,70.362,2.504,96.944,1,4,4
27.0,17.712,39.686,1.470,57.398,28.1,17.591,41.076,1.462,58.666,1,8,8
28.0,13.611,31.047,1.109,44.658,28.1,13.285,31.310,1.114,44.594,1,16,16
28.0,10.510,19.477,0.696,29.987,28.4,10.819,19.728,0.695,30.547,1,24,24
