num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
14.0,0.560,2.474,0.177,3.034,14.0,0.533,2.508,0.179,3.041,1,1,1
15.0,0.920,3.520,0.235,4.440,15.0,0.921,3.522,0.235,4.443,1,2,2
16.0,1.355,5.107,0.319,6.462,16.0,1.327,5.086,0.318,6.413,1,4,4
17.0,1.834,6.220,0.366,8.054,17.0,1.832,6.233,0.367,8.065,1,8,8
20.0,2.721,13.255,0.663,15.976,20.0,2.653,11.808,0.590,14.461,1,16,16
21.0,3.467,12.422,0.592,15.889,21.0,3.631,12.779,0.609,16.410,1,24,24
