num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
26.0,41.053,101.469,3.903,142.522,27.0,37.386,91.156,3.376,128.541
27.0,26.094,65.530,2.427,91.624,27.6,25.170,66.052,2.393,91.222
29.0,17.258,43.256,1.492,60.514,30.2,16.390,44.714,1.481,61.104
31.0,11.431,27.584,0.890,39.015,32.5,10.457,29.207,0.899,39.663
32.0,8.411,20.006,0.625,28.417,33.5,7.978,22.175,0.662,30.153
34.0,6.828,14.695,0.432,21.523,35.1,6.035,14.888,0.424,20.923
