num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
6.0,9.011,2.652,0.442,11.663,8.1,8.792,2.991,0.369,11.783
6.0,5.690,1.240,0.207,6.930,8.0,5.682,1.444,0.181,7.126
6.0,3.114,0.776,0.129,3.890,8.0,3.043,0.857,0.107,3.901
7.0,1.728,0.514,0.073,2.242,8.8,1.648,0.570,0.065,2.218
7.0,1.007,0.459,0.066,1.466,8.8,0.947,0.357,0.041,1.304
7.0,0.629,0.389,0.056,1.018,8.8,0.532,0.384,0.044,0.915
7.0,0.358,0.159,0.023,0.517,8.8,0.327,0.273,0.031,0.600
