num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
18.0,12.160,3.396,0.189,15.556,23.1,3.141,4.805,0.208,7.946,1,1,1
18.0,7.441,4.326,0.240,11.767,22.9,1.956,5.493,0.240,7.449,2,1,2
18.0,4.109,2.385,0.132,6.494,23.7,1.096,3.156,0.133,4.252,4,1,4
18.0,2.454,1.393,0.077,3.847,22.5,0.657,1.744,0.078,2.401,8,1,8
18.0,1.435,0.855,0.048,2.290,23.3,0.377,1.042,0.045,1.419,16,1,16
19.0,1.018,0.565,0.030,1.583,23.2,0.259,0.700,0.030,0.960,24,1,24
