num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
12.0,6.478,3.777,0.315,10.255,12.0,6.865,4.029,0.336,10.895,4,24,96
13.0,3.681,2.569,0.198,6.250,13.0,4.051,2.655,0.204,6.707,8,24,192
13.0,1.927,1.582,0.122,3.509,13.0,2.351,1.893,0.146,4.244,16,24,384
13.0,1.520,1.370,0.105,2.890,13.0,1.704,2.089,0.161,3.793,32,24,768
13.0,2.144,0.831,0.064,2.975,13.1,1.729,4.895,0.374,6.624,64,24,1536
