num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
9.0,0.471,0.075,0.008,0.546,9.9,0.095,0.072,0.007,0.167,1,1,1
11.0,1.036,0.125,0.011,1.161,11.9,0.166,0.090,0.008,0.256,1,2,2
13.0,0.939,0.143,0.011,1.082,14.5,0.204,0.141,0.010,0.345,1,4,4
15.0,1.474,0.199,0.013,1.673,17.6,0.316,0.214,0.012,0.530,1,8,8
18.0,2.855,0.395,0.022,3.250,21.6,0.600,0.417,0.019,1.017,1,16,16
20.0,3.958,0.615,0.031,4.573,25.4,0.857,0.686,0.027,1.544,1,24,24
