num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
8.0,0.406,0.083,0.010,0.489,8.8,0.116,0.068,0.008,0.184
12.0,0.411,0.073,0.006,0.484,12.0,0.086,0.068,0.006,0.154
15.0,0.395,0.108,0.007,0.503,14.6,0.079,0.086,0.006,0.165
16.0,0.386,0.106,0.007,0.492,16.0,0.081,0.098,0.006,0.179
