num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
84.0,99.656,94.039,1.120,193.695,130.8,39.265,147.198,1.125,186.463
85.0,49.692,58.387,0.687,108.079,131.0,19.114,96.536,0.737,115.650
85.0,25.855,37.560,0.442,63.415,131.0,9.938,51.422,0.393,61.360
146.0,16.180,44.424,0.304,60.604,206.4,5.971,46.916,0.227,52.887
