num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
19.0,2.363,3.278,0.173,5.641,19.9,2.127,3.435,0.173,5.562
18.0,3.211,3.252,0.181,6.463,20.7,2.968,3.756,0.181,6.723
17.0,5.942,4.823,0.284,10.765,20.8,5.068,5.702,0.274,10.770
17.0,7.140,5.865,0.345,13.005,21.9,7.110,7.155,0.327,14.265
18.0,11.879,9.106,0.506,20.985,23.5,11.388,11.488,0.489,22.877
18.0,16.609,12.828,0.713,29.437,25.9,16.282,18.065,0.697,34.346
