num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
9.0,3.833,1.728,0.192,5.561,10.8,3.898,2.039,0.189,5.937,1,1,1
9.0,1.872,0.853,0.095,2.725,10.8,1.913,1.011,0.094,2.924,2,1,2
9.0,1.305,0.550,0.061,1.855,10.8,1.315,0.647,0.060,1.963,4,1,4
9.0,0.825,0.360,0.040,1.185,10.8,0.839,0.425,0.039,1.263,8,1,8
9.0,0.590,0.248,0.028,0.838,10.8,0.596,0.294,0.027,0.889,16,1,16
9.0,0.490,0.176,0.020,0.666,10.8,0.485,0.205,0.019,0.690,24,1,24
