num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
23.0,34.069,13.021,0.566,47.090,29.9,8.674,17.884,0.598,26.559,1,1,1
23.0,19.575,15.820,0.688,35.395,29.9,5.415,20.871,0.698,26.286,2,1,2
23.0,11.963,9.092,0.395,21.055,30.0,3.134,11.820,0.394,14.954,4,1,4
23.0,6.943,5.416,0.235,12.359,29.6,1.836,7.057,0.238,8.893,8,1,8
23.0,4.003,2.975,0.129,6.978,29.6,1.051,3.869,0.131,4.920,16,1,16
23.0,2.758,1.916,0.083,4.674,29.3,0.707,2.471,0.084,3.178,24,1,24
