num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
5.0,0.127,0.059,0.012,0.186,5.0,0.100,0.048,0.010,0.147,1,1,1
6.0,0.155,0.091,0.015,0.246,6.0,0.122,0.075,0.012,0.197,1,2,2
6.0,0.299,0.114,0.019,0.413,6.5,0.277,0.123,0.019,0.400,1,4,4
7.0,0.383,0.163,0.023,0.546,7.9,0.385,0.184,0.023,0.568,1,8,8
7.0,0.608,0.213,0.030,0.821,8.0,0.634,0.242,0.030,0.876,1,16,16
6.0,0.994,0.268,0.045,1.262,7.6,0.989,0.422,0.056,1.412,1,24,24
