num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
55.0,19.211,4.431,0.081,23.642,54.2,2.641,4.215,0.078,6.856
39.0,19.184,4.955,0.127,24.139,38.8,2.642,4.130,0.106,6.772
29.0,19.196,5.584,0.193,24.780,28.9,2.606,5.380,0.186,7.986
22.0,19.126,7.777,0.353,26.903,22.3,2.610,7.480,0.335,10.090
