num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
17.0,73.945,118.625,6.978,192.570,24.1,63.636,148.895,6.178,212.530
17.0,43.757,61.434,3.614,105.191,24.5,44.051,94.405,3.853,138.456
17.0,30.469,36.288,2.135,66.757,25.0,31.234,56.729,2.269,87.963
18.0,23.998,22.731,1.263,46.729,25.4,22.660,37.866,1.491,60.525
18.0,17.735,21.857,1.214,39.592,25.8,18.283,28.911,1.121,47.194
18.0,15.308,15.687,0.871,30.995,25.9,15.576,23.268,0.898,38.844
