num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
91.0,7.050,33.029,0.363,40.079,91.4,3.788,34.636,0.379,38.423,1,24,24
117.0,7.403,43.120,0.369,50.523,116.5,3.823,44.570,0.383,48.393,1,24,24
159.0,7.814,56.551,0.356,64.365,158.1,3.774,59.933,0.379,63.707,1,24,24
192.0,8.086,80.268,0.418,88.354,190.4,3.805,74.895,0.393,78.699,1,24,24
