num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
28.0,1.233,6.138,0.219,7.371,28.9,1.198,6.232,0.216,7.430,1,1,1
27.0,1.660,6.605,0.245,8.265,32.2,1.564,7.898,0.245,9.462,1,2,2
29.0,2.656,9.684,0.334,12.340,34.7,2.394,11.659,0.336,14.053,1,4,4
29.0,3.727,11.360,0.392,15.087,37.5,3.197,14.775,0.394,17.972,1,8,8
29.0,5.459,16.790,0.579,22.249,39.4,4.761,23.609,0.599,28.370,1,16,16
29.0,7.271,18.641,0.643,25.912,41.0,6.285,25.666,0.626,31.951,1,24,24
