num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
19.0,12.623,10.602,0.558,23.225,19.0,5.670,9.537,0.502,15.208,1,24,24
21.0,10.282,9.596,0.457,19.878,20.2,4.637,8.546,0.423,13.183,1,24,24
20.0,9.960,8.565,0.428,18.525,19.4,4.486,7.521,0.388,12.007,1,24,24
26.0,9.621,10.395,0.400,20.016,24.6,4.283,9.641,0.392,13.924,1,24,24
