num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
16.0,18.310,68.379,4.274,86.689,16.0,18.583,70.499,4.406,89.082,1,1,1
18.0,11.818,45.887,2.549,57.705,18.0,11.416,45.058,2.503,56.473,1,2,2
20.0,7.635,25.623,1.281,33.258,20.0,7.682,27.104,1.355,34.786,1,4,4
21.0,4.849,16.302,0.776,21.151,21.0,5.334,15.903,0.757,21.238,1,8,8
22.0,3.878,11.838,0.538,15.716,22.0,4.133,10.866,0.494,14.999,1,16,16
23.0,3.446,10.267,0.446,13.713,23.0,3.727,9.936,0.432,13.663,1,24,24
