num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
29.0,7.625,18.466,0.637,26.091,41.0,6.245,26.063,0.636,32.309
66.0,14.171,36.968,0.560,51.139,88.5,7.222,48.986,0.554,56.208
41.0,10.973,28.755,0.701,39.728,58.0,6.234,36.945,0.637,43.179
95.0,17.951,52.865,0.556,70.816,127.6,7.123,72.621,0.569,79.743
