num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
56.0,44.841,13.089,0.234,57.930,56.9,6.246,12.993,0.228,19.240
61.0,20.589,6.905,0.113,27.494,59.2,3.162,6.385,0.108,9.547
60.0,10.011,6.516,0.109,16.527,60.1,1.675,5.196,0.086,6.871
61.0,4.750,1.613,0.026,6.363,61.6,0.875,3.254,0.053,4.129
60.0,3.467,0.687,0.011,4.154,60.7,0.691,8.682,0.143,9.373
