num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
10.0,25.081,12.014,1.201,37.095,13.1,20.405,14.109,1.077,34.514,768,1,768
26.0,27.559,29.443,1.132,57.002,35.5,19.947,38.352,1.080,58.298,768,1,768
36.0,24.919,41.038,1.140,65.957,53.7,18.748,60.471,1.126,79.219,768,1,768
34.0,26.518,39.319,1.156,65.837,50.0,19.655,57.132,1.143,76.788,768,1,768
35.0,24.134,40.679,1.162,64.813,50.2,18.934,57.387,1.143,76.321,768,1,768
35.0,23.141,40.829,1.167,63.970,50.7,7.685,58.511,1.154,66.195,768,1,768
35.0,21.770,40.402,1.154,62.172,50.7,7.697,58.782,1.159,66.478,768,1,768
