num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
5.0,3.329,1.352,0.270,4.681,5.9,3.306,1.559,0.264,4.864,1,1,1
6.0,2.619,1.183,0.197,3.802,6.9,2.624,1.244,0.180,3.868,1,2,2
6.0,1.753,0.679,0.113,2.432,6.9,1.798,0.772,0.112,2.570,1,4,4
6.0,1.311,0.430,0.072,1.741,7.3,1.314,0.504,0.069,1.819,1,8,8
6.0,1.054,0.285,0.047,1.339,7.6,1.055,0.363,0.048,1.418,1,16,16
6.0,0.940,0.378,0.063,1.318,7.6,0.986,0.359,0.047,1.345,1,24,24
