num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
15.0,33.619,59.392,3.959,93.011,14.3,13.717,59.423,4.155,73.140,1,1,1
17.0,25.050,44.292,2.605,69.342,16.1,10.696,42.208,2.622,52.904,1,2,2
19.0,17.978,27.496,1.447,45.474,18.1,7.659,26.176,1.446,33.835,1,4,4
20.0,13.239,16.214,0.811,29.453,19.1,5.870,15.446,0.809,21.316,1,8,8
20.0,10.847,13.244,0.662,24.091,20.0,4.951,12.340,0.617,17.292,1,16,16
21.0,10.279,9.002,0.429,19.281,20.2,4.664,8.309,0.411,12.973,1,24,24
