num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
84.0,130.440,104.828,1.248,235.268,130.8,46.638,189.224,1.447,235.862
85.0,53.449,70.848,0.834,124.297,131.0,20.313,141.271,1.078,161.584
85.0,27.718,62.322,0.733,90.040,131.0,10.415,126.781,0.968,137.196
146.0,25.427,145.261,0.995,170.688,206.4,8.762,346.387,1.679,355.149
