num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
26.0,33.414,66.734,2.567,100.148,26.0,18.128,43.806,1.685,61.934
27.0,61.378,49.416,1.830,110.794,26.3,17.849,33.722,1.282,51.571
23.0,78.423,33.346,1.450,111.769,22.1,19.594,22.050,0.998,41.644
23.0,93.840,34.631,1.506,128.471,22.2,22.562,22.975,1.035,45.536
27.0,106.496,37.229,1.379,143.725,26.2,25.915,27.014,1.031,52.930
27.0,108.922,42.660,1.580,151.582,26.1,25.656,26.381,1.011,52.037
26.0,106.296,41.219,1.585,147.515,26.0,25.168,25.994,1.000,51.162
