num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
29.0,7.083,5.654,0.195,12.737,30.7,3.856,5.997,0.195,9.853,1,1,1
32.0,7.416,12.105,0.378,19.521,35.6,4.157,13.412,0.377,17.569,2,1,2
34.0,9.767,16.708,0.491,26.475,39.6,5.509,19.310,0.488,24.819,4,1,4
88.0,11.795,49.377,0.561,61.172,101.5,6.509,58.076,0.572,64.585,8,1,8
183.0,12.931,114.945,0.628,127.876,198.7,7.362,128.738,0.648,136.100,16,1,16
267.0,13.483,176.407,0.661,189.890,433.7,9.261,283.436,0.654,292.697,24,1,24
