num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
47.0,41.343,34.229,0.728,75.572,46.1,6.213,32.603,0.707,38.816
47.0,30.233,19.558,0.416,49.791,46.4,4.621,19.203,0.414,23.823
49.0,24.499,11.500,0.235,35.999,48.9,3.583,11.474,0.235,15.057
50.0,20.843,6.981,0.140,27.824,50.0,2.925,7.013,0.140,9.939
53.0,19.446,4.886,0.092,24.332,52.5,2.675,4.966,0.095,7.641
55.0,18.975,4.975,0.090,23.950,54.2,2.598,4.418,0.082,7.017
