num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
16.0,1.664,0.184,0.011,1.848,18.6,0.330,0.222,0.012,0.551
19.0,1.929,0.246,0.013,2.175,22.5,0.393,0.312,0.014,0.705
22.0,2.340,0.308,0.014,2.648,27.2,0.457,0.469,0.017,0.925
25.0,3.856,0.631,0.025,4.487,32.6,0.858,0.849,0.026,1.707
28.0,4.411,0.848,0.030,5.259,38.4,0.960,1.319,0.034,2.279
35.0,5.615,1.129,0.032,6.744,48.2,1.107,3.200,0.066,4.306
38.0,9.619,15.723,0.414,25.342,54.4,2.625,26.866,0.494,29.491
