num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
9.0,8.779,4.542,0.505,13.321,11.1,10.108,5.907,0.532,16.015,1,1,1
9.0,4.996,2.477,0.275,7.473,11.7,5.156,3.200,0.273,8.355,2,1,2
10.0,3.327,1.712,0.171,5.039,11.8,3.338,2.017,0.171,5.355,4,1,4
9.0,1.858,1.011,0.112,2.869,11.7,1.864,1.304,0.111,3.168,8,1,8
9.0,0.975,0.669,0.074,1.644,11.7,1.004,0.859,0.073,1.863,16,1,16
10.0,0.678,0.470,0.047,1.148,11.8,0.701,0.555,0.047,1.256,24,1,24
