num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
18.0,8.196,2.964,0.165,11.160,23.1,1.717,3.811,0.165,5.528,1,1,1
18.0,5.815,2.034,0.113,7.849,23.3,1.244,2.255,0.097,3.499,1,2,2
19.0,4.953,1.109,0.058,6.062,23.5,1.055,1.289,0.055,2.345,1,4,4
19.0,4.352,0.809,0.043,5.161,23.7,0.919,0.807,0.034,1.726,1,8,8
20.0,3.920,0.718,0.036,4.638,24.9,0.869,0.728,0.029,1.597,1,16,16
20.0,3.863,0.675,0.034,4.538,25.4,0.883,0.684,0.027,1.567,1,24,24
