num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
27.0,15.361,54.146,2.005,69.507,27.0,9.926,37.431,1.386,47.357
29.0,25.840,44.153,1.523,69.993,28.1,8.849,25.410,0.904,34.259
24.0,30.662,30.020,1.251,60.682,23.2,8.530,16.563,0.714,25.093
23.0,35.795,25.516,1.109,61.311,23.0,9.570,15.544,0.676,25.114
28.0,38.664,33.186,1.185,71.850,27.1,10.450,18.572,0.685,29.023
27.0,37.632,26.126,0.968,63.758,27.0,10.098,16.311,0.604,26.409
27.0,37.949,25.447,0.942,63.396,27.0,10.119,18.227,0.675,28.346
