elevation_m,young_Pa
-2.008358623,3193568029
-1.796947201,2794274960
-1.653751875,2531300340
-1.589133592,2414728084
-1.256907097,1837832343
-1.522999517,2296829008
-1.086071318,1557385933
-1.339123563,1976906654
-1.258504899,1840510574
-1.308050967,1924045400
-1.673183174,2566614447
-1.38807701,2060908756
-1.665430344,2552510351
-1.316794898,1938884292
-1.40383082,2088126172
-1.398266345,2078502428
-1.22875983,1790814983
-1.704755501,2624245186
-1.200623035,1744127081
-1.489206467,2237149418
-1.287824616,1889830694
-1.388133822,2061006748
-1.665885051,2553337042
-1.55618384,2355806900
-1.831213228,2858120841
-1.992279396,3162757121
-1.246983233,1821220168
-1.532095228,2312958102
-1.950867097,3083731640
-2.101997577,3374389791
-1.408669278,2096503252
-1.488798263,2236430887
-2.133960671,3436646718
-1.912613555,3011159485
-2.063778521,3300302406
-1.659051228,2540919506
-1.506697977,2267991693
-1.308462144,1924742544
-1.456262375,2179344539
-1.329142079,1959886773
-1.886118933,2961138447
-1.427835688,2129768757
-1.936239329,3055932174
-1.54457735,2335137206
-1.570341898,2381080881
-1.824043846,2844733943
-1.288199909,1890464123
-1.384410682,2054587329
-1.706263679,2627005887
-1.685689542,2589405922
-1.802121831,2803894311
-1.878930212,2947600961
-1.583727949,2405037267
-2.043896902,3261916440
-1.687217633,2592194044
-2.127203495,3423462898
-1.568302799,2377436756
-2.227003506,3619382610
-1.735499901,2680660607
-1.440557805,2151921013
-1.441031387,2152746729
-1.565845738,2373047495
-1.946241993,3074935344
-2.128260444,3425524308
-2.158944445,3485495574
-1.44469733,2159141155
-1.378051573,2043634547
-1.265156113,1851669933
-1.214512393,1767134632
-1.334938247,1969765587
-1.29526699,1902402140
-1.223949225,1782810405
-1.274873058,1868003590
-1.242319501,1813426496
-1.189041889,1725002141
-1.208044929,1756411780
-1.181181222,1712051970
-1.182126325,1713607670
-1.436932059,2145601931
-1.266843387,1854503543
-1.241053812,1811312840
-1.87303068,2936502310
-2.105774206,3381731806
-2.027560834,3230455766
-2.078220463,3328252297
-1.5934823,2422531014
-1.965944823,3112448802
-1.463194684,2191477116
-2.120887339,3411150362
-1.635152566,2497610006
-1.574612272,2388716995
-1.427183705,2128635030
-1.260460625,1843790104
-1.2805749,1877604941
-1.323975197,1951091021
-1.632850335,2493447447
-1.418893834,2114232954
-1.597604003,2429932296
-1.501812877,2259367472
-1.329688465,1960817485
-1.179153219,1708714970
-1.164684439,1684955758
-1.055430212,1508378020
-1.427704397,2129540444
-1.234640993,1800613292
-1.129653141,1627787801
-1.265023197,1851446760
-2.155174553,3478114199
-1.687878068,2593399285
-1.937783282,3058863560
-1.704687203,2624120184
-2.00320349,3183682077
-2.089539319,3350196872
-2.138534187,3445576807
-1.737731624,2684767041
-1.597449522,2429654797
-1.466895555,2197961006
-1.572498886,2384937175
-1.703111607,2621236859
-1.486125234,2231727168
-1.481969967,2224420013
-1.527201478,2304276746
-1.501908353,2259535949
-1.566955417,2375029566
-1.318006244,1940942266
-1.175822606,1703238202
-1.648748374,2522226336
-2.156477427,3480664785
-1.812505532,2823220955
-1.368986124,2028045735
-2.001865422,3181117267
-1.99213624,3162483124
-1.867346291,2925817885
-1.888145366,2964957213
-2.080716025,3333087671
-1.756407425,2719190358
-1.512751785,2278690374
-2.118447366,3406396751
-1.960054389,3101222296
-2.123835763,3416896635
-2.092638897,3356212155
-1.738882931,2686886072
-2.009253309,3195284500
-1.840318929,2875144994
-1.736118247,2681798230
-1.651550941,2527307903
-1.589380934,2415171726
-1.225949582,1786137778
-2.058492543,3290086261
-2.056684676,3286593939
-2.093273456,3357443945
-1.964841795,3110345820
-1.773085886,2750021264
-1.858609891,2909415066
-1.769352201,2743112105
-2.122985378,3415239060
-1.40260383,2086003145
-1.402464456,2085762025
-1.361471082,2015145625
-1.454639515,2176506700
-1.939851399,3062791186
-1.308840205,1925383597
-1.655487108,2534449087
-1.598076368,2430780866
-1.596129774,2427284411
-1.515410264,2283392521
-1.432110281,2137205505
-1.681201053,2581220527
