num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
18.0,2.042,1.779,0.099,3.821,18.0,2.226,2.296,0.128,4.522,1,1,1
25.0,4.610,5.307,0.212,9.917,25.0,4.358,5.238,0.210,9.597,8,1,8
