num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
55.0,19.212,4.503,0.082,23.715,54.2,2.673,4.184,0.077,6.857
61.0,21.040,7.187,0.118,28.227,59.2,3.282,6.485,0.110,9.767
70.0,24.316,30.390,0.434,54.706,72.6,3.902,30.364,0.418,34.266
