num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
24.0,20.428,25.616,1.067,46.044,24.0,22.437,31.335,1.306,53.771,1,1,1
24.0,13.065,19.625,0.818,32.690,24.0,13.089,19.150,0.798,32.239,2,1,2
24.0,7.754,9.505,0.396,17.259,24.0,7.686,9.673,0.403,17.359,4,1,4
25.0,4.577,5.339,0.214,9.916,25.0,4.547,5.335,0.213,9.882,8,1,8
25.0,2.870,3.062,0.122,5.932,25.0,2.831,3.030,0.121,5.861,16,1,16
25.0,2.481,1.941,0.078,4.422,25.0,2.442,1.955,0.078,4.398,24,1,24
