num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
32.0,32.356,10.404,0.325,42.760,42.1,7.892,13.136,0.312,21.028
32.0,18.892,5.136,0.161,24.028,42.1,4.208,5.613,0.133,9.820
32.0,12.031,2.520,0.079,14.551,42.4,2.448,2.865,0.068,5.313
31.0,9.744,1.638,0.053,11.382,43.5,2.003,1.852,0.043,3.855
31.0,5.244,1.220,0.039,6.464,43.9,0.978,1.436,0.033,2.413
31.0,2.961,1.068,0.034,4.029,44.1,0.510,0.985,0.022,1.495
32.0,1.866,0.965,0.030,2.831,42.5,0.378,0.708,0.017,1.086
