num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
18.0,8.870,3.442,0.191,12.312,23.1,1.906,4.780,0.207,6.686,1,1,1
18.0,7.427,2.156,0.120,9.583,23.3,1.623,2.792,0.120,4.416,1,2,2
19.0,5.727,1.343,0.071,7.070,23.5,1.249,1.646,0.070,2.895,1,4,4
19.0,4.750,0.847,0.045,5.597,23.7,1.016,1.044,0.044,2.059,1,8,8
20.0,4.649,0.663,0.033,5.312,24.9,0.939,0.825,0.033,1.763,1,16,16
20.0,4.295,0.739,0.037,5.034,25.4,0.887,0.799,0.031,1.687,1,24,24
