num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
29.0,7.298,19.497,0.672,26.795,41.0,6.248,26.555,0.648,32.804
95.0,18.075,54.133,0.570,72.208,127.6,7.161,72.902,0.571,80.064
62.0,24.393,43.289,0.698,67.682,83.9,10.327,63.771,0.760,74.098
