num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
41.0,35.758,62.033,1.513,97.791,43.3,29.315,88.424,2.041,117.738
48.0,19.359,45.898,0.956,65.257,52.1,15.546,76.754,1.473,92.300
46.0,8.621,42.771,0.930,51.392,48.1,8.321,56.255,1.170,64.576
41.0,6.020,43.068,1.050,49.088,43.2,5.207,59.308,1.373,64.515
42.0,4.098,54.090,1.288,58.188,43.3,6.275,74.693,1.725,80.967
