num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
7.0,0.259,0.239,0.034,0.498,7.9,0.267,0.205,0.026,0.472,1,24,24
7.0,0.319,0.198,0.028,0.517,7.9,0.333,0.220,0.028,0.552,2,24,48
6.0,0.448,0.221,0.037,0.669,7.4,0.418,0.249,0.034,0.667,4,24,96
7.0,0.623,0.534,0.076,1.157,8.7,0.496,0.323,0.037,0.820,8,24,192
7.0,0.719,0.419,0.060,1.138,7.9,0.565,0.321,0.041,0.886,16,24,384
7.0,0.802,0.544,0.078,1.346,8.8,0.738,0.438,0.050,1.176,32,24,768
7.0,0.999,0.753,0.108,1.752,8.8,0.829,0.568,0.065,1.397,64,24,1536
