num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
55.0,18.993,21.244,0.386,40.237,78.7,20.026,31.614,0.402,51.640,24,1,24
140.0,7.498,80.642,0.576,88.140,180.0,4.192,110.364,0.613,114.556,24,1,24
267.0,13.397,172.473,0.646,185.870,433.7,9.492,284.858,0.657,294.349,24,1,24
