num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
119.0,204.988,144.008,1.210,348.996,119.4,64.321,224.175,1.878,288.496,4,24,96
122.0,96.963,76.633,0.628,173.596,119.3,33.720,127.884,1.072,161.605,8,24,192
123.0,51.638,64.816,0.527,116.454,122.9,19.005,112.841,0.918,131.846,16,24,384
117.0,24.249,65.560,0.560,89.809,117.2,9.249,118.403,1.010,127.651,32,24,768
111.0,15.919,103.932,0.936,119.851,110.8,7.125,181.825,1.641,188.951,64,24,1536
