num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
69.0,4.646,8.034,0.116,12.680,69.0,4.659,7.917,0.115,12.576,24,1,24
68.0,8.208,9.363,0.138,17.571,68.0,8.238,9.113,0.134,17.352,48,1,48
78.0,10.643,9.271,0.119,19.914,78.0,12.918,8.756,0.112,21.674,96,1,96
74.0,44.066,10.091,0.136,54.157,74.0,37.088,9.760,0.132,46.848,192,1,192
110.0,66.920,20.415,0.186,87.335,110.0,53.135,19.877,0.181,73.012,384,1,384
131.0,88.784,41.234,0.315,130.018,131.0,68.920,44.285,0.338,113.205,768,1,768
,,,,,,,,,,,,
