num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
84.0,198.295,286.973,3.416,485.268,84.0,175.459,294.869,3.510,470.328,768,1,768
501.0,87.263,1297.164,2.589,1384.427,501.0,72.003,1381.227,2.757,1453.230,768,1,768
501.0,34.262,666.373,1.330,700.635,501.0,27.671,668.192,1.334,695.863,768,1,768
501.0,31.551,717.545,1.432,749.096,501.0,23.458,693.675,1.385,717.133,768,1,768
501.0,32.926,784.142,1.565,817.068,501.0,25.311,779.519,1.556,804.831,768,1,768
501.0,25.159,767.691,1.532,792.850,501.0,16.808,777.014,1.551,793.821,768,1,768
501.0,23.923,785.414,1.568,809.337,501.0,16.542,779.273,1.555,795.816,768,1,768
