num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
5.0,3.353,1.110,0.222,4.463,5.9,3.277,1.319,0.224,4.595,1,1,1
6.0,2.108,0.828,0.138,2.936,6.9,2.039,0.976,0.142,3.015,1,2,2
6.0,1.475,0.616,0.103,2.091,6.9,1.407,0.588,0.085,1.995,1,4,4
6.0,1.205,0.460,0.077,1.665,7.3,1.132,0.445,0.061,1.577,1,8,8
6.0,1.005,0.335,0.056,1.340,7.6,0.996,0.367,0.048,1.363,1,16,16
6.0,0.884,0.322,0.054,1.206,7.6,0.950,0.354,0.047,1.304,1,24,24
