num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
56.0,7.057,60.844,1.087,67.901,59.2,2.478,56.825,0.960,59.303,192,1,192
51.0,5.812,55.296,1.084,61.108,52.8,2.070,33.683,0.638,35.753,192,1,192
57.0,5.378,62.260,1.092,67.638,57.1,2.119,55.203,0.967,57.322,192,1,192
61.0,4.652,66.619,1.092,71.271,61.3,2.253,61.732,1.007,63.986,192,1,192
61.0,4.777,66.544,1.091,71.321,61.3,2.082,52.623,0.858,54.705,192,1,192
