num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
34.0,86.551,40.024,1.177,126.575,33.6,18.683,45.756,1.362,64.439,1,1,1
36.0,43.243,47.522,1.320,90.765,34.5,9.740,45.353,1.315,55.093,2,1,2
35.0,22.531,22.677,0.648,45.208,34.3,5.170,23.698,0.691,28.868,4,1,4
32.0,13.173,12.055,0.377,25.228,32.0,3.045,12.058,0.377,15.103,8,1,8
33.0,6.772,6.287,0.191,13.059,32.1,1.633,6.301,0.196,7.934,16,1,16
35.0,6.333,4.595,0.131,10.928,34.4,1.558,4.562,0.133,6.120,24,1,24
