num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
70.0,82.934,305.246,4.361,388.180,70.0,81.628,305.548,4.365,387.176,1,1,1
70.0,53.468,160.558,2.294,214.026,70.0,53.134,159.631,2.280,212.764,2,1,2
70.0,32.375,78.816,1.126,111.191,70.0,32.447,83.880,1.198,116.327,4,1,4
70.0,26.101,58.353,0.834,84.454,70.0,24.929,54.410,0.777,79.339,8,1,8
71.0,18.044,36.534,0.515,54.578,71.0,18.858,36.340,0.512,55.198,16,1,16
70.0,16.599,25.080,0.358,41.679,70.0,17.518,24.816,0.355,42.334,24,1,24
