num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
10.0,3.022,10.978,1.098,14.000,13.6,3.317,5.694,0.419,9.011,48,1,48
10.0,7.591,1.140,0.114,8.731,14.4,7.495,1.656,0.115,9.151,96,1,96
10.0,15.576,0.560,0.056,16.136,13.7,14.824,0.932,0.068,15.756,192,1,192
11.0,19.486,5.707,0.519,25.193,14.0,18.401,6.737,0.481,25.137,384,1,384
10.0,26.733,10.707,1.071,37.440,13.1,20.091,13.837,1.056,33.928,768,1,768
10.0,33.405,11.924,1.192,45.329,13.4,21.008,15.629,1.166,36.637,1536,1,1536
