num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
54.0,45.731,29.741,0.551,75.472,54.7,8.308,35.650,0.652,43.958,1,1,1
54.0,24.163,30.408,0.563,54.571,54.7,4.798,30.884,0.565,35.682,2,1,2
56.0,14.165,20.761,0.371,34.926,55.9,2.938,20.637,0.369,23.574,4,1,4
56.0,7.774,11.667,0.208,19.441,55.9,1.632,11.651,0.208,13.283,8,1,8
58.0,3.919,5.965,0.103,9.884,58.9,0.835,6.049,0.103,6.884,16,1,16
58.0,2.631,3.953,0.068,6.584,58.4,0.568,3.907,0.067,4.476,24,1,24
