num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
35.0,14.506,33.305,0.952,47.811,51.5,3.842,32.418,0.629,36.260,48,1,48
35.0,8.024,7.117,0.203,15.141,52.1,1.720,11.563,0.222,13.283,96,1,96
34.0,6.537,3.842,0.113,10.379,49.8,1.171,5.574,0.112,6.745,192,1,192
35.0,10.101,2.640,0.075,12.741,50.3,1.741,3.781,0.075,5.522,384,1,384
35.0,16.819,2.635,0.075,19.454,50.7,2.562,3.939,0.078,6.501,768,1,768
29.0,37.076,3.411,0.118,40.487,38.1,6.502,36.641,0.962,43.143,1536,1,1536
