num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
193.0,4.842,42.540,0.220,47.382,337.4,2.723,74.913,0.222,77.636,24,1,24
500.0,5.211,105.945,0.212,111.156,500.9,2.678,106.994,0.214,109.672,48,1,48
501.0,6.419,115.221,0.230,121.640,501.0,3.124,119.728,0.239,122.852,96,1,96
501.0,8.962,129.539,0.259,138.501,501.0,3.475,135.300,0.270,138.776,192,1,192
501.0,14.781,352.590,0.704,367.371,501.0,5.725,186.640,0.373,192.365,384,1,384
450.0,23.412,329.187,0.732,352.599,499.5,7.625,205.286,0.411,212.911,768,1,768
501.0,44.352,354.879,0.708,399.231,501.0,11.749,302.159,0.603,313.908,1536,1,1536
