num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
43.0,1.842,7.963,0.185,9.805,41.2,0.826,7.576,0.184,8.402,24,1,24
56.0,2.180,9.675,0.173,11.855,55.1,0.797,9.589,0.174,10.386,48,1,48
81.0,3.090,31.382,0.387,34.472,83.1,1.148,22.158,0.267,23.307,96,1,96
310.0,5.244,65.222,0.210,70.466,365.2,1.749,79.034,0.216,80.783,192,1,192
501.0,10.152,319.150,0.637,329.302,443.7,4.108,132.308,0.298,136.417,384,1,384
501.0,18.478,132.254,0.264,150.732,496.4,5.361,138.640,0.279,144.001,768,1,768
501.0,38.072,259.945,0.519,298.017,501.0,8.136,199.562,0.398,207.698,1536,1,1536
