num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
73.0,80.087,64.463,0.883,144.550,73.0,73.583,59.933,0.821,133.515,96,1,96
78.0,50.397,30.496,0.391,80.893,78.0,51.367,30.886,0.396,82.253,192,1,192
79.0,61.613,18.553,0.235,80.166,79.0,56.545,18.697,0.237,75.242,384,1,384
91.0,88.759,16.575,0.182,105.334,91.0,68.636,20.044,0.220,88.680,768,1,768
,,,,,,,,,,,,
