num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
13.0,1.496,2.168,0.167,3.664,13.0,0.596,2.163,0.166,2.758
9.0,1.498,2.717,0.302,4.215,9.0,0.595,2.713,0.301,3.309
6.0,1.580,3.985,0.664,5.565,6.0,0.635,3.979,0.663,4.614
5.0,1.499,5.779,1.156,7.278,5.0,0.596,5.776,1.155,6.372
