num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
62.0,4.922,2.744,0.044,7.666,61.9,0.900,4.047,0.065,4.946
61.0,4.702,3.083,0.051,7.785,61.6,0.866,3.753,0.061,4.619
