num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
6.0,8.333,1.961,0.327,10.294,8.1,8.701,2.915,0.360,11.616
6.0,5.576,1.267,0.211,6.843,8.0,5.830,1.630,0.204,7.460
6.0,3.104,1.161,0.194,4.265,8.0,3.329,0.991,0.124,4.320
7.0,1.744,0.511,0.073,2.255,8.8,1.927,0.848,0.096,2.775
7.0,1.013,0.412,0.059,1.425,8.8,1.138,0.591,0.067,1.729
7.0,0.850,0.282,0.040,1.132,8.8,0.928,1.081,0.123,2.009
7.0,2.571,2.122,0.303,4.693,8.8,3.365,2.425,0.276,5.790
