num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
16.0,4.881,0.733,0.046,5.614,20.3,1.109,0.907,0.045,2.016
20.0,4.364,0.718,0.036,5.082,25.4,0.889,0.829,0.033,1.717
22.0,4.549,0.898,0.041,5.447,26.1,0.893,0.970,0.037,1.863
23.0,4.288,0.848,0.037,5.136,27.8,0.813,0.965,0.035,1.778
