num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg
32.0,34.953,11.714,0.366,46.667,42.1,7.545,16.382,0.389,23.927
32.0,22.988,6.947,0.217,29.935,42.1,4.609,7.704,0.183,12.313
32.0,13.513,3.652,0.114,17.165,42.4,2.731,4.013,0.095,6.745
31.0,13.271,2.555,0.082,15.826,43.5,2.895,3.168,0.073,6.063
31.0,6.925,1.315,0.042,8.240,43.9,1.341,2.136,0.049,3.477
31.0,4.196,1.043,0.034,5.239,44.1,0.781,1.885,0.043,2.665
32.0,4.695,8.028,0.251,12.723,42.5,1.015,6.437,0.151,7.451
